Date,Open,High,Low,Close,Volume
2016-01-01,10089.894911411184,10098.162610101075,10018.579557275398,10061.129498773644,24373
2016-01-02,9859.081496117047,9829.562107407648,9865.664024363226,9854.022549353318,43965
2016-01-03,10020.107131324788,9992.292730553454,9944.309495797372,10003.037295028756,33954
2016-01-04,10207.64779944085,10201.595297740309,10135.250448663086,10192.988385307384,14886
2016-01-05,9815.13098205768,9812.934471501792,9834.333852959471,9802.910848547352,1431
2016-01-06,9557.549863130567,9536.57824088586,9474.729791603457,9550.903685769508,12513
2016-01-07,9570.89550192994,9590.86394332137,9568.727935078346,9575.354758355028,21470
2016-01-08,9551.433837774382,9464.76595390541,9512.6165539062,9514.983180028865,7537
2016-01-09,9494.533280648924,9477.046267159216,9489.83437808812,9511.786462523318,44225
2016-01-10,9350.964065177885,9337.87608995955,9347.64268709398,9350.88350465442,3703
2016-01-11,9517.084597247542,9476.345993947749,9641.953547699812,9516.801265415515,27492
2016-01-12,9673.780527302222,9752.58304745611,9674.966066949595,9666.00054222216,48857
2016-01-13,9670.460492574057,9679.68682771857,9736.410444915044,9678.774029957378,17413
2016-01-14,9905.690224481608,9914.445352849543,9818.959373770536,9899.458588445508,27302
2016-01-15,9989.080159104253,9968.311158570454,9909.862608387775,9992.454462792291,4599
2016-01-16,9791.116396687328,9821.417964203963,9749.409259807966,9822.192882200845,36752
2016-01-17,9895.08852318165,9834.963320144756,9906.697541971913,9894.899485356917,48896
2016-01-18,9685.580296947726,9698.7045302158,9734.396344992716,9706.946554683049,38875
2016-01-19,9844.726914662955,9832.711383441065,9877.095441572104,9878.994890834896,8322
2016-01-20,9871.837100359686,9858.144685360843,9773.274477073464,9869.135457674836,18263
2016-01-21,9842.308629159374,9716.331184607136,9866.745089573198,9832.71419423496,36454
2016-01-22,9709.93181523882,9655.167644032032,9813.957182549037,9699.714174309654,40146
2016-01-23,9951.078565291748,10023.916798617383,9888.605221311169,9939.80343460846,20765
2016-01-24,9870.830447871143,9950.273603844103,9796.77438876602,9909.131003439765,48112
2016-01-25,9797.863521227891,9889.401644279516,9716.579676952204,9824.606432557372,10973
2016-01-26,9794.164037600203,9862.121886368324,9705.009196802814,9755.658037067453,37346
2016-01-27,9839.422280600777,9893.251918028633,9780.310983186951,9860.073391061018,25326
2016-01-28,9944.537740258726,9922.019891593056,9929.774688153935,9932.40350106621,35874
2016-01-29,10000.97237276485,9962.79241633397,10104.797248606012,10014.731364254818,30204
2016-01-30,10103.004938524164,10160.932770584586,10099.987139740357,10101.395326851936,22179
2016-01-31,10530.114569614332,10546.87181224536,10497.388407079688,10543.467960399252,40953
2016-02-01,10469.860167906903,10600.420518622344,10465.188193070177,10458.11484413746,42224
2016-02-02,10354.351575359517,10335.44981134418,10360.879578796254,10351.519935355427,41046
